account_type,hour,dow,stage,alpha,n,ter
human,5,5,stratified,0.005,26054,1.0439855684347892
human,5,5,stratified,0.001,26054,1.2666001381745604
human,5,6,global,0.05,31140,0.5362877328195247
human,5,6,global,0.01,31140,0.497752087347463
human,5,6,global,0.005,31140,0.6037251123956326
human,5,6,global,0.001,31140,0.44958253050738595
human,5,6,stratified,0.05,31140,1.0057803468208093
human,5,6,stratified,0.01,31140,0.9473346178548491
human,5,6,stratified,0.005,31140,0.9890815671162493
human,5,6,stratified,0.001,31140,0.3532434168272318
human,6,0,global,0.05,41995,0.961543040838195
human,6,0,global,0.01,41995,1.5001785926896058
human,6,0,global,0.005,41995,1.538278366472199
human,6,0,global,0.001,41995,1.0239314204071912
human,6,0,stratified,0.05,41995,0.9458268841528753
human,6,0,stratified,0.01,41995,0.8762947969996429
human,6,0,stratified,0.005,41995,0.9667817597333015
human,6,0,stratified,0.001,41995,1.4287415168472437
human,6,1,global,0.05,42718,1.1091343227679198
human,6,1,global,0.01,42718,1.9874525960953227
human,6,1,global,0.005,42718,2.205159417575729
human,6,1,global,0.001,42718,1.4981974811554848
human,6,1,stratified,0.05,42718,1.2327356149632474
human,6,1,stratified,0.01,42718,1.5871529565990916
human,6,1,stratified,0.005,42718,1.7088815019429748
human,6,1,stratified,0.001,42718,2.4345709068776626
human,6,2,global,0.05,32747,0.9387119430787553
human,6,2,global,0.01,32747,1.2856139493694079
human,6,2,global,0.005,32747,1.4169236876660458
human,6,2,global,0.001,32747,0.5802058203804928
human,6,2,stratified,0.05,32747,1.6319052126912388
human,6,2,stratified,0.01,32747,1.62457629706538
human,6,2,stratified,0.005,32747,1.813906617400067
human,6,2,stratified,0.001,32747,0.9466516016734358
human,6,3,global,0.05,26604,0.36761389264772215
human,6,3,global,0.01,26604,0.21801232897308676
human,6,3,global,0.005,26604,0.16538866335889338
human,6,3,global,0.001,26604,0.1879416629078334
human,6,3,stratified,0.05,26604,0.8352127499624116
human,6,3,stratified,0.01,26604,0.7931138174710569
human,6,3,stratified,0.005,26604,0.804390317245527
human,6,3,stratified,0.001,26604,0.6765899864682003
human,6,4,global,0.05,26072,0.3260202516109236
human,6,4,global,0.01,26072,0.2569806689168457
human,6,4,global,0.005,26072,0.36821110770174903
human,6,4,global,0.001,26072,0.9588830929733048
human,6,4,stratified,0.05,26072,0.7111077017490027
human,6,4,stratified,0.01,26072,0.6597115679656336
human,6,4,stratified,0.005,26072,0.8208039275851488
human,6,4,stratified,0.001,26072,0.8438171218165081
human,6,5,global,0.05,29188,0.7393449362751815
human,6,5,global,0.01,29188,1.3978347265999727
human,6,5,global,0.005,29188,1.4457996436891873
human,6,5,global,0.001,29188,0.9592983417842949
human,6,5,stratified,0.05,29188,0.6694531999451828
human,6,5,stratified,0.01,29188,0.6201178566534191
human,6,5,stratified,0.005,29188,0.5961353981088119
human,6,5,stratified,0.001,29188,1.0278196519117446
human,6,6,global,0.05,38345,1.1709479723562393
human,6,6,global,0.01,38345,2.0524188290520278
human,6,6,global,0.005,38345,2.336680140826705
human,6,6,global,0.001,38345,1.0431607771547788
human,6,6,stratified,0.05,38345,1.159994784196114
human,6,6,stratified,0.01,38345,1.0796714043551963
human,6,6,stratified,0.005,38345,0.844960229495371
human,6,6,stratified,0.001,38345,0.15647411657321686
human,7,0,global,0.05,62349,1.5865531123193635
human,7,0,global,0.01,62349,2.6303549375290705
human,7,0,global,0.005,62349,2.8164044331103946
human,7,0,global,0.001,62349,1.5397199634316507
human,7,0,stratified,0.05,62349,1.0191021507963238
human,7,0,stratified,0.01,62349,1.008837351040113
human,7,0,stratified,0.005,62349,1.0136489759258367
human,7,0,stratified,0.001,62349,1.331216218383615
human,7,1,global,0.05,61774,1.9351183345744163
human,7,1,global,0.01,61774,3.883510862175025
human,7,1,global,0.005,61774,4.370770874477936
human,7,1,global,0.001,61774,2.0720691553080584
human,7,1,stratified,0.05,61774,1.480881924434228
human,7,1,stratified,0.01,61774,2.067212743225305
human,7,1,stratified,0.005,61774,2.1886230452941366
human,7,1,stratified,0.001,61774,1.6349920678602647
human,7,2,global,0.05,43583,1.478558153408439
human,7,2,global,0.01,43583,2.4711470068604733
human,7,2,global,0.005,43583,2.9415138930316864
human,7,2,global,0.001,43583,1.4455177477456806
human,7,2,stratified,0.05,43583,1.5772204758736204
human,7,2,stratified,0.01,43583,1.9227680517633023
human,7,2,stratified,0.005,43583,2.133859532386481
human,7,2,stratified,0.001,43583,1.4914072000550673
human,7,3,global,0.05,27008,0.5005924170616114
human,7,3,global,0.01,27008,0.28139810426540285
human,7,3,global,0.005,27008,0.23696682464454977
human,7,3,global,0.001,27008,0.11107819905213269
human,7,3,stratified,0.05,27008,0.825681279620853
human,7,3,stratified,0.01,27008,0.7331161137440758
human,7,3,stratified,0.005,27008,0.8071682464454977
human,7,3,stratified,0.001,27008,0.33323459715639814
human,7,4,global,0.05,26463,0.34916676113819295
human,7,4,global,0.01,26463,0.2985300230510524
human,7,4,global,0.005,26463,0.37032838302535614
human,7,4,global,0.001,26463,0.8691380417942032
human,7,4,stratified,0.05,26463,0.7066470165891999
human,7,4,stratified,0.01,26463,0.7897819597173411
human,7,4,stratified,0.005,26463,0.8842534859993197
human,7,4,stratified,0.001,26463,1.020292483845369
human,7,5,global,0.05,40224,1.3116547334924422
human,7,5,global,0.01,40224,2.476133651551313
human,7,5,global,0.005,40224,2.4463007159904535
human,7,5,global,0.001,40224,1.1933174224343677
human,7,5,stratified,0.05,40224,0.6985879077167859
human,7,5,stratified,0.01,40224,0.6513524264120922
human,7,5,stratified,0.005,40224,0.7010739856801909
human,7,5,stratified,0.001,40224,1.0192919649960221
human,7,6,global,0.05,60148,1.7157677728270266
human,7,6,global,0.01,60148,3.2469907561348674
human,7,6,global,0.005,60148,3.3085056859745956
human,7,6,global,0.001,60148,1.6126887012036975
human,7,6,stratified,0.05,60148,1.0899780541331383
human,7,6,stratified,0.01,60148,0.916073684910554
human,7,6,stratified,0.005,60148,0.9410121699807144
human,7,6,stratified,0.001,60148,0.9310367759526501
human,8,0,global,0.05,76922,1.587842229791217
human,8,0,global,0.01,76922,2.103429448012272
human,8,0,global,0.005,76922,2.2334312680377524
human,8,0,global,0.001,76922,1.4040196562751879
human,8,0,stratified,0.05,76922,0.9981539741556381
human,8,0,stratified,0.01,76922,0.9984139777956891
human,8,0,stratified,0.005,76922,0.9802137229921218
human,8,0,stratified,0.001,76922,0.767010738150334
human,8,1,global,0.05,73770,1.9381862545750306
human,8,1,global,0.01,73770,3.5217568117120783
human,8,1,global,0.005,73770,4.0422936152907685
human,8,1,global,0.001,73770,2.37223803714247
human,8,1,stratified,0.05,73770,1.5073878270299579
human,8,1,stratified,0.01,73770,2.1973702046902535
human,8,1,stratified,0.005,73770,2.3857936830689983
human,8,1,stratified,0.001,73770,1.599566219330351
human,8,2,global,0.05,53223,1.512503992634763
human,8,2,global,0.01,53223,2.132536685267647
human,8,2,global,0.005,53223,2.2471487890573623
human,8,2,global,0.001,53223,1.2212765157920449
human,8,2,stratified,0.05,53223,1.291171110234297
human,8,2,stratified,0.01,53223,1.3997707757924205
human,8,2,stratified,0.005,53223,1.3227364109501532
human,8,2,stratified,0.001,53223,0.9582323431599121
human,8,3,global,0.05,27302,0.516445681635045
human,8,3,global,0.01,27302,0.27836788513662003
human,8,3,global,0.005,27302,0.30766976778258004
human,8,3,global,0.001,27302,0.4395282396894001
human,8,3,stratified,0.05,27302,0.8277781847483701
human,8,3,stratified,0.01,27302,0.6995824481722951
human,8,3,stratified,0.005,27302,0.732547066149
human,8,3,stratified,0.001,27302,0.8790564793788002
human,8,4,global,0.05,26457,0.3454662282193748
human,8,4,global,0.01,26457,0.26080054427939675
human,8,4,global,0.005,26457,0.3930906754356125
human,8,4,global,0.001,26457,1.0961182295800733
human,8,4,stratified,0.05,26457,0.6712779226669691
human,8,4,stratified,0.01,26457,0.7181464262765997
human,8,4,stratified,0.005,26457,0.8239785312015724
human,8,4,stratified,0.001,26457,1.0205238689193787
human,8,5,global,0.05,49084,1.259066090783147
human,8,5,global,0.01,49084,1.9762040583489529
human,8,5,global,0.005,49084,2.0373237714937655
human,8,5,global,0.001,49084,1.2835139760410723
human,8,5,stratified,0.05,49084,0.780702469236411
human,8,5,stratified,0.01,49084,0.7171379675658056
human,8,5,stratified,0.005,49084,0.7578844429956808
human,8,5,stratified,0.001,49084,0.9982886480319453
human,8,6,global,0.05,75518,1.6070340845891045
human,8,6,global,0.01,75518,2.2961413173018355
human,8,6,global,0.005,75518,2.3729441987340762
human,8,6,global,0.001,75518,1.4963320003178049
human,8,6,stratified,0.05,75518,0.983341719854869
human,8,6,stratified,0.01,75518,0.9891681453428322
human,8,6,stratified,0.005,75518,0.9242829524086973
human,8,6,stratified,0.001,75518,1.0593500887205698
human,9,0,global,0.05,79563,1.549966693060845
human,9,0,global,0.01,79563,1.8312532207181729
human,9,0,global,0.005,79563,1.7973178487487904
human,9,0,global,0.001,79563,1.7596118798939206
human,9,0,stratified,0.05,79563,0.9858853989919937
human,9,0,stratified,0.01,79563,0.9627590714276737
human,9,0,stratified,0.005,79563,0.9376217588577606
human,9,0,stratified,0.001,79563,0.8923745962319168
human,9,1,global,0.05,75855,1.8042317579592642
human,9,1,global,0.01,75855,2.4981873310922156
human,9,1,global,0.005,75855,2.771076395755059
human,9,1,global,0.001,75855,1.9379078505042513
human,9,1,stratified,0.05,75855,1.444070924790719
human,9,1,stratified,0.01,75855,1.8377166963285216
human,9,1,stratified,0.005,75855,1.8799024454551445
human,9,1,stratified,0.001,75855,1.8324434776876937
human,9,2,global,0.05,54678,1.5037126449394638
human,9,2,global,0.01,54678,1.7228135630418084
human,9,2,global,0.005,54678,1.686235780386993
human,9,2,global,0.001,54678,1.2070668276089103
human,9,2,stratified,0.05,54678,1.3493544021361426
human,9,2,stratified,0.01,54678,1.3497201799626906
human,9,2,stratified,0.005,54678,1.185120158016021
human,9,2,stratified,0.001,54678,1.1156223709718716
human,9,3,global,0.05,27415,0.41947838774393575
human,9,3,global,0.01,27415,0.3611161772752143
human,9,3,global,0.005,27415,0.40124019697246033
human,9,3,global,0.001,27415,1.0578150647455773
human,9,3,stratified,0.05,27415,0.7718402334488418
human,9,3,stratified,0.01,27415,0.7805945650191501
human,9,3,stratified,0.005,27415,0.9265000911909538
human,9,3,stratified,0.001,27415,0.9119095385737734
human,9,4,global,0.05,26318,0.30701421080629226
human,9,4,global,0.01,26318,0.27737670035717
human,9,4,global,0.005,26318,0.4027661676419181
human,9,4,global,0.001,26318,1.17790105631127
human,9,4,stratified,0.05,26318,0.6619044000303973
human,9,4,stratified,0.01,26318,0.6155482939433087
human,9,4,stratified,0.005,26318,0.714339995440383
human,9,4,stratified,0.001,26318,0.9499202067026369
human,9,5,global,0.05,52403,1.1224548212888574
human,9,5,global,0.01,52403,1.3453428238841287
human,9,5,global,0.005,52403,1.3854168654466348
human,9,5,global,0.001,52403,1.1068068622025455
human,9,5,stratified,0.05,52403,0.7075930767322481
human,9,5,stratified,0.01,52403,0.7461404881399919
